Departamento,Nombre,Corto,Largo
CONTRATACIÓN,contacto57,XXX56,666666666
CONTRATACIÓN,contacto58,XXX57,777777777
CONTRATACIÓN,contacto59,XXX58,888888888
CONTRATACIÓN,contacto60,XXX59,999999999
CONTRATACIÓN,contacto61,XXX60,000000000
MEDIOS DE COMUNICACIÓN,contacto62,XXX61,111111111
MEDIOS DE COMUNICACIÓN,contacto63,XXX62,222222222
MEDIOS DE COMUNICACIÓN,contacto64,XXX63,333333333
TELEVISIÓN,contacto65,XXX64,444444444
TELEVISIÓN,contacto66,XXX65,555555555
TELEVISIÓN,contacto67,XXX66,666666666
PRESIDENCIA/PROTOCOLO,contacto68,XXX67,777777777
ALCALDÍA,contacto69,XXX68,888888888
ALCALDÍA,contacto70,XXX69,999999999
ALCALDÍA,contacto71,XXX70,000000000
ALCALDÍA,contacto72,XXX71,111111111
ADL  - AGENCIA DESARROLLO LOCAL,contacto73,XXX72,222222222
ADL  - AGENCIA DESARROLLO LOCAL,contacto74,XXX73,333333333
ADL  - AGENCIA DESARROLLO LOCAL,contacto75,XXX74,444444444
ADL  - AGENCIA DESARROLLO LOCAL,contacto76,XXX75,555555555
ADL  - AGENCIA DESARROLLO LOCAL,contacto77,XXX76,666666666
ADL  - AGENCIA DESARROLLO LOCAL,contacto78,XXX77,777777777
ADL  - AGENCIA DESARROLLO LOCAL,contacto79,XXX78,888888888
ADL  - AGENCIA DESARROLLO LOCAL,contacto80,XXX79,999999999
ADL  - AGENCIA DESARROLLO LOCAL,contacto81,XXX80,000000000
ADL  - AGENCIA DESARROLLO LOCAL,contacto82,XXX81,111111111
OMIC - OFIC.MUNC.INFORM.CONSUMIDOR,contacto83,XXX82,222222222
OMIC - OFIC.MUNC.INFORM.CONSUMIDOR,contacto84,XXX83,333333333
OMIC - OFIC.MUNC.INFORM.CONSUMIDOR,contacto85,XXX84,444444444
POLICIA LOCAL,contacto86,XXX85,555555555
POLICIA LOCAL,contacto87,XXX86,666666666
POLICIA LOCAL,contacto88,XXX87,777777777
POLICIA LOCAL,contacto89,XXX88,888888888
POLICIA LOCAL,contacto90,XXX89,999999999
POLICIA LOCAL,contacto91,XXX90,000000000
POLICIA LOCAL,contacto92,XXX91,111111111
POLICIA LOCAL,contacto93,XXX92,222222222
POLICIA LOCAL,contacto94,XXX93,333333333
POLICIA LOCAL,contacto95,XXX94,444444444
POLICIA LOCAL,contacto96,XXX95,555555555
POLICIA LOCAL,contacto97,XXX96,666666666
POLICIA LOCAL,contacto98,XXX97,777777777
POLICIA LOCAL,contacto99,XXX98,888888888
POLICIA LOCAL,contacto100,XXX99,999999999
POLICIA LOCAL,contacto101,XXX100,000000000
POLICIA LOCAL,contacto102,XXX101,111111111
BIBLIOTECAS,contacto103,XXX102,222222222
BIBLIOTECAS,contacto104,XXX103,333333333
BIBLIOTECAS,contacto105,XXX104,444444444
BIBLIOTECAS,contacto106,XXX105,555555555
BIBLIOTECAS,contacto107,XXX106,666666666
BIBLIOTECAS AGENCIA QUINT,contacto108,XXX107,777777777
BIBLIOTECAS AGENCIA QUINT,contacto109,XXX108,888888888
BIBLIOTECAS,contacto110,XXX109,999999999
BIBLIOTECAS,contacto111,XXX110,000000000
BIBLIOTECAS,contacto112,XXX111,111111111
BIBLIOTECAS AGENCIA SANTA CECILIA,contacto113,XXX112,222222222
BIBLIOTECAS AGENCIA SANTA CECILIA,contacto114,XXX113,333333333
BIBLIOTECAS,contacto115,XXX114,444444444
BIBLIOTECAS,contacto116,XXX115,555555555
BIBLIOTECAS,contacto117,XXX116,666666666
BIBLIOTECAS,contacto118,XXX117,777777777
BIBLIOTECAS SALA ESTUDIO QUINT,contacto119,XXX118,888888888
CASA DE LA DONA,contacto120,XXX119,999999999
CASA DE LA DONA,contacto121,XXX120,000000000
CASA DE LA DONA,contacto122,XXX121,111111111
CASA DE LA DONA,contacto123,XXX122,222222222
CASA DE LA DONA,contacto124,XXX123,333333333
CASA DE LA DONA  PART.CIUDADANA,contacto125,XXX124,444444444
SERVICIOS SOCIALES SANT FRANCESC,contacto126,XXX125,555555555
SERVICIOS SOCIALES SANT FRANCESC,contacto127,XXX126,666666666
SERVICIOS SOCIALES SANT FRANCESC,contacto128,XXX127,777777777
SERVICIOS SOCIALES SANT FRANCESC,contacto129,XXX128,888888888
SERVICIOS SOCIALES SANT FRANCESC,contacto130,XXX129,999999999
SERVICIOS SOCIALES SANT FRANCESC,contacto131,XXX130,000000000
SERVICIOS SOCIALES SANT FRANCESC,contacto132,XXX131,111111111
SERVICIOS SOCIALES SANT FRANCESC,contacto133,XXX132,222222222
SERVICIOS SOCIALES SANT FRANCESC,contacto134,XXX133,333333333
SERVICIOS SOCIALES SANT FRANCESC,contacto135,XXX134,444444444
SERVICIOS SOCIALES SANT FRANCESC,contacto136,XXX135,555555555
SERVICIOS SOCIALES SANT FRANCESC,contacto137,XXX136,666666666
SERVICIOS SOCIALES SANT FRANCESC,contacto138,XXX137,777777777
SERVICIOS SOCIALES SANT FRANCESC,contacto139,XXX138,888888888
SERVICIOS SOCIALES SANT FRANCESC,contacto140,XXX139,999999999
SERVICIOS SOCIALES SANT FRANCESC,contacto141,XXX140,000000000
SERVICIOS SOCIALES SANT FRANCESC,contacto142,XXX141,111111111
SERVICIOS SOCIALES SANT FRANCESC,contacto143,XXX142,222222222
SERVICIOS SOCIALES SANT FRANCESC,contacto144,XXX143,333333333
SERVICIOS SOCIALES SANT FRANCESC,contacto145,XXX144,444444444
CENTRO CIVICO Y SOCIAL,contacto146,XXX145,555555555
CENTRO CIVICO Y SOCIAL,contacto147,XXX146,666666666
CENTRO CIVICO Y SOCIAL,contacto148,XXX147,777777777
CENTRO CIVICO Y SOCIAL,contacto149,XXX148,888888888
SERVICIOS SOCIALES MAESTRO PALAU,contacto150,XXX149,999999999
SERVICIOS SOCIALES MAESTRO PALAU,contacto151,XXX150,000000000
SERVICIOS SOCIALES MAESTRO PALAU,contacto152,XXX151,111111111
SERVICIOS SOCIALES MAESTRO PALAU,contacto153,XXX152,222222222
SERVICIOS SOCIALES MAESTRO PALAU,contacto154,XXX153,333333333
SERVICIOS SOCIALES MAESTRO PALAU,contacto155,XXX154,444444444
SERVICIOS SOCIALES MAESTRO PALAU,contacto156,XXX155,555555555
SERVICIOS SOCIALES MAESTRO PALAU,contacto157,XXX156,666666666
SERVICIOS SOCIALES MAESTRO PALAU,contacto158,XXX157,777777777
SERVICIOS SOCIALES MAESTRO PALAU,contacto159,XXX158,888888888
SERVICIOS SOCIALES MAESTRO PALAU,contacto160,XXX159,999999999
SERVICIOS SOCIALES MAESTRO PALAU,contacto161,XXX160,000000000
SERVICIOS SOCIALES MAESTRO PALAU,contacto162,XXX161,111111111
SERVICIOS SOCIALES MAESTRO PALAU,contacto163,XXX162,222222222
SERVICIOS SOCIALES MAESTRO PALAU,contacto164,XXX163,333333333
SERVICIOS SOCIALES MAESTRO PALAU,contacto165,XXX164,444444444
SERVICIOS SOCIALES MAESTRO PALAU,contacto166,XXX165,555555555
SERVICIOS SOCIALES MAESTRO PALAU,contacto167,XXX166,666666666
SERVICIOS SOCIALES MAESTRO PALAU,contacto168,XXX167,777777777
SERVICIOS SOCIALES MAESTRO PALAU,contacto169,XXX168,888888888
SERVICIOS SOCIALES MAESTRO PALAU,,XXX169,999999999
SERVICIOS SOCIALES MAESTRO PALAU,contacto170,XXX170,000000000
SERVICIOS SOCIALES MAESTRO PALAU,contacto171,XXX171,111111111
SERVICIOS SOCIALES MAESTRO PALAU,contacto172,XXX172,222222222
SERVICIOS SOCIALES MAESTRO PALAU,contacto173,XXX173,333333333
SERVICIOS SOCIALES MAESTRO PALAU,contacto174,XXX174,444444444
SERVICIOS SOCIALES MAESTRO PALAU,contacto175,XXX175,555555555
SERVICIOS SOCIALES MAESTRO PALAU,contacto176,XXX176,666666666
SERVICIOS SOCIALES MAESTRO PALAU,contacto177,XXX177,777777777
SERVICIOS SOCIALES MAESTRO PALAU,contacto178,XXX178,888888888
SERVICIOS SOCIALES MAESTRO PALAU,contacto179,XXX179,999999999
SERVICIOS SOCIALES MAESTRO PALAU,contacto180,XXX180,000000000
SERVICIOS SOCIALES MAESTRO PALAU,contacto181,XXX181,111111111
SERVICIOS SOCIALES MAESTRO PALAU,contacto182,XXX182,222222222
CENTRO CULTURAL CENTRALITA,contacto183,XXX183,333333333
CENTRO CULTURAL CENTRALITA,contacto184,XXX184,444444444
CENTRO CULTURAL,contacto185,XXX185,555555555
CENTRO CULTURAL  DEPORTES,contacto186,XXX186,666666666
CENTRO CULTURAL  DEPORTES,contacto187,XXX187,777777777
CENTRO CULTURAL  DEPORTES,contacto188,XXX188,888888888
CENTRO CULTURAL  DEPORTES,contacto189,XXX189,999999999
CENTRO CULTURAL FIESTAS,contacto190,XXX190,000000000
CENTRO CULTURAL FIESTAS,contacto191,XXX191,111111111
CENTRO CULTURAL FIESTAS,contacto192,XXX192,222222222
CENTRO CULTURAL FIESTAS,contacto193,XXX193,333333333
CENTRO CULTURAL CULTURA,contacto194,XXX194,444444444
CENTRO CULTURAL CULTURA,contacto195,XXX195,555555555
CENTRO CULTURAL CULTURA,contacto196,XXX196,666666666
CENTRO CULTURAL CULTURA,contacto197,XXX197,777777777
CENTRO CULTURAL CULTURA,contacto198,XXX198,888888888
CENTRO CULTURAL CULTURA,contacto199,XXX199,999999999
CENTRO CULTURAL CULTURA,contacto200,XXX200,000000000
CENTRO CULTURAL EDUCACION,contacto201,XXX201,111111111
CENTRO CULTURAL EDUCACION,contacto202,XXX202,222222222
CENTRE JOVE DEL MERCAT,contacto203,XXX203,333333333
CENTRE JOVE DEL MERCAT,contacto204,XXX204,444444444
CENTRE JOVE DEL MERCAT,contacto205,XXX205,555555555
CENTRE JOVE DEL MERCAT,contacto206,XXX206,666666666
CENTRE JOVE DEL MERCAT,contacto207,XXX207,777777777
CENTRE JOVE DEL MERCAT,contacto208,XXX208,888888888
CENTRE JOVE DEL MERCAT,contacto209,XXX209,999999999
CENTRE JOVE TURIA,contacto210,XXX210,000000000
CENTRE JOVE TURIA,contacto211,XXX211,111111111
CENTRE JOVE TURIA,contacto212,XXX212,222222222
CENTRO SOCIOCULTURAL LA FABRICA,contacto213,XXX213,333333333
CENTRO SOCIOCULTURAL LA FABRICA,contacto214,XXX214,444444444
CENTRO SOCIOCULTURAL LA FABRICA,contacto215,XXX215,555555555
CENTRO SOCIOCULTURAL LA FABRICA,contacto216,XXX216,666666666
CENTRO SOCIOCULTURAL LA FABRICA,contacto217,XXX217,777777777
CENTRO SOCIOCULTURAL LA FABRICA,contacto218,XXX218,888888888
